,name,sold,rating,price,city
0,Navy Club Tas Selempang Travel Cross Body Bag IEB - Tas Pria Sling Bag - Hitam,500.0,4.9,119000.0,Jakarta Utara
1,Navy Club Tas Ransel Kasual FAG - Tas Pria Backpack - Up To 14 Inch - Hitam,750.0,4.9,195000.0,Jakarta Utara
2,Navy Club Tas Ransel Kasual FCIA - Tas Pria Backpack - Up To 14 Inch - 709 Black,250.0,5.0,189000.0,Jakarta Utara
3,Navy Club Tas Ransel Kasual ECC - Ransel Pria Wanita - Up to 14 inch - Hitam,500.0,4.9,229000.0,Jakarta Utara
8,OZUKO 9223 Tas Sling Bag Pria Tas SlingBag Pria ANTITHEFT Tas Pria - Army,1000.0,4.9,255000.0,Jakarta Utara
9,CLUTCH BAG PRIA WANITA WATERPROOF HAND BAG POUCH BAG PRIA ANTI AIR - BLACK,5000.0,4.9,55000.0,Kota Tangerang
10,CLUTCH BAG LEXUS TAS SELEMPANG PRIA TERBARU POUCH BAG WATERPROOF - CLUTCH LEXUS,2000.0,4.9,89000.0,Kota Tangerang
11,TAS SELEMPANG PRIA ANTI AIR SLING POUCH WALLET VECTOR WATERPROOF - BLACK,1000.0,4.8,85000.0,Kota Tangerang
12,TAS SELEMPANG PRIA LEXUS SLING BAG WATERPROOF CLUTCH BAG TERBARU - SLING LEXUS,3000.0,4.9,89000.0,Kota Tangerang
13,Soulgate-Sling bag pria casual S-PRO - Hitam,2000.0,4.8,21000.0,Kota Bandung
14,"POLO GIVES 20 Inch Tas Ransel Jumbo Pria Ransel Kerja Polo Original - Coklat A Kunci, besar (jumbo)",250.0,5.0,148000.0,Jakarta Pusat
15,WIWU Pouch gadget tas cluch organizer pria cowok Handbag tas tangan,1000.0,5.0,298000.0,Jakarta Pusat
16,Tas Ransel Backpack Canvas Retro Vintage Travel Kanvas Besar Pria LBX - Hitam,250.0,4.8,168888.0,Kota Depok
17,-,,,,
23,TAS RANSEL PRIA WATERPROOF BACKPACK ROCKFORD TAS OUTDOOR ANTI AIR - BLACK,,,265000.0,
24,BC17 Business Clutch Hand Woven Turin Tas Tangan Pria Wanita,,,58000.0,
25,W12 Business Clutch Model Roma Tas tangan Handbag Dompet Pria - Hitam,,,48500.0,
26,TAS SELEMPANG PRIA ANTI AIR SLING BAG XANDER WATERPROOF POUCH BAG PRIA - BLACK,1000.0,4.8,95000.0,Kota Tangerang
27,Freeknight Tas Ransel Pria Backpack Laptop Tas Punggung Sekolah TR709 - Hijau Army,,,159000.0,
28,Tas Ransel Pria Waterproof Backpack Pria Tas Anti Air Bimo - Army,,,108800.0,Kota Surabaya
